Species	1-99	100-336	337-547	548-704	705-897	898-1130	1131-1213	1214-1414	1415-1492	1493-1602	1603-1820	1821-1915	1916-2084	2085-2260	2261-2336	2337-2570	2571-2688	2689-2951	2952-3035	3036-3132	3133-3257	3258-3372	3373-3602	3603-3713	3714-3877	3878-4004	4005-4137	4138-4245	4246-4349	4350-4474	4475-4594	4595-4778	4779-4890	4891-5045	5046-5199	5200-5391	5392-5564	5565-5706	5707-5977	5978-6099	6100-6288	6289-6373	6374-6669	6670-6739	6740-6966	6967-7149	7150-7347	7348-7598	7599-7821	7822-7967	7968-8107	8108-8278	8279-8412	8413-8581	8582-8719	8720-8789	8790-8967	8968-9074	9075-9204	9205-9335	9336-9420	9421-9563	9564-9658	9659-9796	9797-9917
Argopecten_irradians	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	2	1	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	2	0	1	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0
Crassostrea_virginica	2	2	0	0	2	2	0	2	0	2	0	2	0	0	0	2	0	0	2	0	0	0	0	0	0	0	2	0	2	2	0	0	0	2	0	1	0	0	2	2	2	0	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	0	2	2	2	2
Phoronis_vancouverensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	2	2	0	0	2	1	0	2	0	0	2	2	2	0	2	2	2	1
Terebratalia_transversa	2	0	0	0	2	0	0	0	0	0	2	0	2	2	0	0	2	2	2	2	0	0	2	0	2	0	2	0	0	2	0	2	2	0	0	0	2	2	0	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	0
Carinoma_mutabilis	2	2	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	2	2	0	0	0	0	0	0	2	0	2	0	0	2	0	0	0	0	0	0	0	0	2	0	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	0	0
Cerebratulus_lacteus	0	0	0	0	0	0	2	0	2	0	0	0	0	2	0	2	0	0	0	2	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	2	0	2	0	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2
Themiste_lageniformis	0	0	0	0	2	0	2	0	0	0	2	0	2	0	2	0	2	0	2	2	0	0	0	0	0	0	2	0	2	2	0	0	2	0	2	0	0	0	0	2	0	0	0	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	0	1
Platynereis_dumerilii	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	2	0	0	2	0	2	2	0	2	2	0	0	0	0	0	0	2	2	2	0	2	0	0	2	0	0
Urechis_caupo	2	0	0	2	2	0	0	0	2	2	2	0	0	0	0	2	0	0	2	0	0	2	2	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	2	0	2	0	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0
Capitella_sp	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	0	1	2	0	2	0	2	2	2	2	2	2	0	0	2	2	2	0	2	0	2	2	2	2	2	2	0	0	0	0	2	2	0	2	2	2	2	2	2	2	2	2	2	0	2	2	2	0	1
Lumbricus_rubellus	2	2	2	2	0	2	2	0	2	2	2	0	2	0	0	2	2	0	2	2	2	1	0	2	0	2	2	0	0	0	0	0	0	1	0	0	2	0	2	2	2	0	2	2	2	2	2	2	0	2	0	0	0	0	2	0	2	2	2	2	1	2	2	2	0
Haementeria_depressa	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	1	0	2	0	1	0	0	2	2	2	2	2	2	0	0	0	0	0	0	0	0	1	1
