Species	1-102	103-396	397-587	588-857	858-1148	1149-1291	1292-1431	1432-1653	1654-1841	1842-2096	2097-2288	2289-2491	2492-2690	2691-2960	2961-3208	3209-3405	3406-3584	3585-3875	3876-4025	4026-4343	4344-4530	4531-4631	4632-4755	4756-5065	5066-5165	5166-5547	5548-5749	5750-5934	5935-6086	6087-6255	6256-6438	6439-6591	6592-6772	6773-7038	7039-7164	7165-7306	7307-7514	7515-7683	7684-7831	7832-8065	8066-8268	8269-8602	8603-8839	8840-9132	9133-9414	9415-9603	9604-9798	9799-10185	10186-10483	10484-10669	10670-10810	10811-11026	11027-11223	11224-11287	11288-11420	11421-11555	11556-11768	11769-11886	11887-12164	12165-12308	12309-12491	12492-12759	12760-12961	12962-13232	13233-13508	13509-13749	13750-13943	13944-14159	14160-14265	14266-14457	14458-14746	14747-15020	15021-15341	15342-15513	15514-15826	15827-16132	16133-16424	16425-16917	16918-17150	17151-17263	17264-17381	17382-17563	17564-17797	17798-17996	17997-18248	18249-18510	18511-18635	18636-18826	18827-18947	18948-19194	19195-19448	19449-19726	19727-19978	19979-20118	20119-20218	20219-20424	20425-20692	20693-21039	21040-21270	21271-21475	21476-21676	21677-21920	21921-22231	22232-22493	22494-22783	22784-23039	23040-23340	23341-23562	23563-23937	23938-24311	24312-24431	24432-24578	24579-24759	24760-25153	25154-25498	25499-25648	25649-25814	25815-26006	26007-26111	26112-26355	26356-26570	26571-26753	26754-26924	26925-27141	27142-27272	27273-27418	27419-27611	27612-27759	27760-27878	27879-28007	28008-28230	28231-28393	28394-28599	28600-28808	28809-29087	29088-29356	29357-29490	29491-29616	29617-29717	29718-29922	29923-30161	30162-30381	30382-30579	30580-30722	30723-31098	31099-31319	31320-31570	31571-31965	31966-32201	32202-32400	32401-32594	32595-32728	32729-32950	32951-33216	33217-33394	33395-33698	33699-33951	33952-34150	34151-34260	34261-34361	34362-34739	34740-34913	34914-35073	35074-35274	35275-35486	35487-35659	35660-35809	35810-35995	35996-36257	36258-36489	36490-36710	36711-36855	36856-37006	37007-37204	37205-37444	37445-37683	37684-37904	37905-38113	38114-38281	38282-38587	38588-38714	38715-38841	38842-38997	38998-39132	39133-39295	39296-39396	39397-39537	39538-39726	39727-39891	39892-40013	40014-40230	40231-40511	40512-40676	40677-40869	40870-41024	41025-41242	41243-41404	41405-41613	41614-41862	41863-41995	41996-42137	42138-42383	42384-42581	42582-42714	42715-42969	42970-43188	43189-43454	43455-43612	43613-43756	43757-44142	44143-44420	44421-44896
Macrostomum_lignano	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
Schmidtea_mediterranea	2	2	2	0	0	2	0	0	2	2	2	2	2	0	0	0	0	0	2	2	0	2	2	1	2	0	0	0	0	2	2	2	0	0	0	0	2	2	0	0	0	2	0	2	0	2	0	2	0	2	2	0	0	0	0	2	2	1	2	2	2	0	0	2	0	2	2	0	0	0	1	0	0	2	2	2	2	0	0	2	0	0	2	0	0	0	0	0	2	0	2	2	0	0	0	2	2	2	2	0	2	2	2	0	2	2	2	0	2	0	2	2	0	0	0	2	0	2	0	2	2	2	2	0	0	0	0	0	2	2	0	2	2	2	0	2	2	2	2	2	2	0	2	2	0	2	2	0	2	2	2	0	2	2	0	0	2	2	2	2	2	0	2	2	0	1	0	0	2	2	2	2	2	2	0	0	0	0	2	2	0	0	0	2	2	2	2	2	2	0	0	2	0	0	0	2	0	2	2	0	0	0	0	2	2	2	0	0	0	2	0	0
Taenia_pisiformes	0	2	0	2	0	2	2	2	0	2	2	2	2	0	0	0	2	2	0	0	0	2	2	2	2	0	2	2	0	2	0	0	0	2	2	2	2	0	2	2	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	2	0	2	2	0	0	2	0	0	0	2	2	0	2	0	0	2	0	2	0	2	2	2	0	2	0	2	0	0	2	0	2	0	2	0	2	2	0	2	2	2	0	2	0	2	0	0	0	2	0	0	2	1	0	2	2	2	2	0	2	0	2	2	2	2	0	2	2	2	2	0	2	2	0	0	2	2	2	0	2	0	2	2	2	0	2	2	0	2	0	0	0	0	0	2	2	2	0	2	0	2	2	2	2	2	2	0	0	0	2	0	2	2	0	2	2	2	2	1	2	0	2	0	0	0	2	2	2	0	2	2	2	2	0	2	2	0	2	2	2	0	0	2	2	2	0	0	2	0	2	2	2	2	2	0	0	1
Schistosoma_mansoni	2	2	0	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	0	2	2	2	0	2	2	2	2	2	2	2	2	2	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	0	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	0	2	2	2	2	0	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	0	2
Ascoparia_sp	2	2	0	2	2	0	2	2	2	0	0	0	2	0	0	0	2	2	0	0	2	2	2	2	2	0	2	0	0	2	2	2	0	2	0	0	0	2	2	0	0	2	0	0	0	0	0	2	2	2	2	0	0	2	0	0	2	0	0	2	2	0	2	2	0	2	2	2	0	0	0	0	0	2	2	0	0	2	0	0	0	2	2	2	2	0	0	0	0	0	2	2	2	0	2	2	2	2	0	2	2	0	2	2	2	2	0	2	2	0	2	2	0	2	2	2	2	0	2	2	0	2	2	0	2	2	0	2	2	2	0	2	2	0	2	2	2	2	0	0	0	0	2	2	2	2	2	0	0	0	0	0	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	0	0	2	2	2	2	0	0	0	2	2	0	0	0	0	2	2	2	2	2	2	0	2	2	0	0	2	2	2	2	0	2	2	0	2	2	0	2	0	0	0	2	0
Meara_stichopi	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
Sterreria_sp	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nemertoderma_westbladi	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
Hofstenia_miamia	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	0	2	2	0	2	2	2	2	2	2	2	2	2	0	2	2	0	2	2	2	2	2	2	0	2	2	0	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
Diopisthoporus_longitubus	2	0	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	0	2	2	2	0	2	2	0	2	0	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	0	2	2	2	2	0	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	0	2	0	2	2	2	2	2	2	2	2	2	2	0	2	0	2	2	2	2	0	2	2	2	2	2	2	2	2	2
Diopisthoporus_gymnopharyngeus	2	2	2	0	0	0	2	2	0	0	0	0	2	0	2	2	2	0	2	2	2	2	2	2	2	2	0	0	0	2	2	2	0	0	2	2	0	2	2	0	0	2	2	0	0	0	2	0	0	2	2	2	2	2	0	2	0	2	0	0	2	0	2	2	0	0	2	0	0	2	0	2	2	2	0	2	0	2	2	0	2	0	2	2	0	0	0	2	2	0	0	0	2	0	0	0	2	0	0	2	2	2	2	0	2	2	0	2	2	2	0	2	2	0	0	2	2	0	2	2	0	2	2	0	2	0	0	2	2	0	0	2	2	2	2	0	0	2	0	2	2	2	2	2	0	0	0	0	0	2	2	0	0	2	2	2	2	0	2	2	2	2	2	0	0	0	2	2	2	2	0	2	2	2	0	2	0	0	2	0	0	2	2	2	0	0	0	2	0	2	2	2	2	2	0	2	0	2	0	0	0	0	0	0	2	0	2	0	2	2	0	2
Isodiametra_pulchra	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
Eumecynostomum_macrobursalium	2	2	2	0	0	2	0	2	0	2	0	0	2	0	0	0	2	2	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	2	0	2	2	0	2	0	2	0	2	0	0	2	2	0	0	0	2	0	2	0	0	2	2	0	0	2	2	0	2	0	2	0	0	2	2	2	2	0	2	2	0	2	0	2	0	0	2	0	2	2	0	0	0	0	2	2	0	0	2	2	0	0	0	0	2	0	0	0	2	0	0	2	2	0	2	2	2	0	2	0	0	0	0	0	0	0	2	2	0	0	2	2	2	0	0	2	2	0	2	0	2	0	0	0	2	0	0	2	0	2	2	2	0	0	0	0	2	2	2	2	0	2	2	2	2	2	0	0	0	2	0	2	0	0	2	0	0	0	2	0	0	0	2	0	2	2	2	2	0	0	0	0	0	0	0	2	2	2	0	2	2	2	2	0	2	0	1	0	2	0	2	2	0	2	0	2
Convolutriloba_macropyga	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
Childia_submaculatum	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	0	2	2	2	2	2	0	2	2	2	2	2	2	0	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	0	2	2	0	2	2	2	2	2
Branchiostoma_floridae	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
Petromyzon_marinus	0	0	2	2	2	2	2	2	0	2	2	2	2	2	0	2	2	2	0	0	2	2	0	2	0	0	0	0	2	2	2	2	0	2	2	2	0	2	2	2	2	2	0	2	0	0	0	0	2	2	0	0	2	2	0	0	2	0	0	2	2	2	0	0	0	2	2	2	2	2	0	0	2	0	2	2	0	2	0	0	2	0	0	2	2	2	0	0	2	2	0	0	0	2	0	2	2	2	0	0	2	2	2	0	0	2	2	2	0	2	2	2	0	2	2	0	2	0	2	0	0	0	0	0	2	2	2	0	0	0	0	2	2	2	0	2	2	0	2	2	2	0	0	0	2	2	2	0	0	0	2	2	2	2	0	2	0	2	0	2	2	0	0	0	2	2	0	2	2	2	0	2	2	2	2	2	0	0	2	2	2	2	2	0	2	0	2	2	0	0	2	0	0	0	2	0	0	0	2	0	2	2	0	0	2	0	2	0	0	2	2	0
Homo_sapiens	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
Gallus_gallus	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	0	2	2	2	2	2	2	2	0	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	0	2	2	2	0	2	2	2	2	2	0	2	0	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	0	2	2	2	2	0	2	2	2	2	2	2	2	2	2	0	0	2	2	2	2	0	2	2	0	0	2	2	2	2	2	2
Saccoglossus_mereschkowskii	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	0	0	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	0	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	0	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	0	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	0
Ptychodera_bahamensis	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	0	2	0	2	2	0	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	0	2	2	0	2	2	2	2	2	0	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	0	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	0	2	2	2	2	2	2	2	0	2	2	2	2	2	0	0	0	2	2	2	2	2	0	2	2	0	2	2	0	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	0	2	2	2	2	0	2	2	2	2	2	2	2	2	2	0	2	2	2	0	2	2	2	2	2	2	0	2	2	2	2	2	0	2	2	0	2	0	2	2	0
Schizocardium_braziliense	2	2	2	0	0	2	0	2	0	0	2	0	2	2	2	2	2	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	2	0	0	2	0	2	2	2	0	0	2	0	0	2	0	0	0	0	0	0	2	0	2	2	0	2	0	0	0	0	0	0	0	2	0	0	2	0	0	2	0	0	0	2	0	0	2	0	0	0	0	0	0	2	2	0	0	2	2	2	2	0	2	2	0	2	0	0	2	0	0	0	0	0	0	0	0	2	0	0	2	2	0	0	2	0	0	2	0	1	0	2	0	2	0	0	2	0	0	2	2	0	0	0	0	0	2	0	0	2	2	2	2	2	0	2	0	2	0	0	2	0	2	0	0	0	2	2	0	0	0	0	2	0	2	0	0	0	2	0	2	2	2	0	0	0	0	2	2	2	0	0	0	2	2	0	0	0	0	0	2	2	2	0	2	0	2	0	0	0	0	0	2	2	0	0	0	0	0	0
Labidiaster_annulatus	2	0	2	2	0	2	2	0	2	0	0	2	2	0	2	0	0	0	2	0	2	2	0	0	0	0	0	0	0	0	2	2	2	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	2	2	2	0	0	2	2	2	2	0	0	0	0	0	2	2	2	0	0	0	2	2	1	2	0	2	2	0	0	2	0	0	0	2	2	0	0	0	0	0	0	2	2	0	2	0	2	2	2	2	0	2	0	2	0	0	0	2	2	2	2	0	2	2	2	0	0	0	2	0	0	0	2	2	2	2	0	0	2	2	0	0	0	2	0	0	2	2	0	2	0	0	2	2	2	0	0	2	2	0	2	2	0	2	0	2	0	2	0	0	0	2	0	0	0	0	0	2	2	2	2	2	0	2	2	2	0	0	0	0	0	2	2	0	2	0	2	0	0	2	0	0	0	2	2	2	2	2	2	2	2	0	0	0	0	2	0	0	0	0	0	0	0
Astrotomma_agassizi	0	2	0	2	0	2	2	2	0	0	2	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	0	0	2	0	2	0	2	0	0	0	0	0	0	0	0	2	2	2	0	0	0	2	2	0	2	0	0	0	2	0	0	2	0	0	0	0	2	0	0	0	2	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	2	2	0	0	0	2	0	2	0	0	0	2	0	2	0	0	0	0	2	0	2	0	0	0	2	2	2	0	2	2	0	0	2	2	2	2	0	0	2	2	0	0	2	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	2	0	2	0	2	0	0	0	2	0	0	2	0	2	0	0	2	2	2	0	0	2	2	2	2	0	0	0	2	2	2	2	2	0	0	2	0	0	0	2	0	0	1	2	0	2	0	0	2	0	0	2	0	0	2	0	0	0	0	0	0	0
Strongylocentrotus_purpuratus	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	0	2	2	2	2	2	2
Leptosynapta_clarki	0	2	2	2	2	2	0	2	0	2	2	0	2	0	2	2	2	2	2	0	0	2	0	2	2	0	0	0	2	0	0	2	2	2	0	2	2	2	0	2	0	2	2	2	0	0	0	2	0	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	0	2	2	2	0	2	2	2	0	2	2	2	2	0	0	2	0	2	2	2	0	0	2	2	2	0	0	2	0	2	2	0	2	2	0	2	2	2	2	2	0	2	2	0	0	2	2	2	2	2	2	2	0	2	2	2	2	2	2	0	2	2	2	0	2	2	0	2	2	2	2	2	0	2	2	2	2	2	2	0	0	2	2	0	2	2	0	2	2	2	0	0	2	2	2	2	2	0	1	2	2	2	2	2	0	2	2	2	0	0	0	0	2	2	2	0	2	2	2	2	2	2	0	0	2	2	2	0	0	0	0	2	0	0	2	0	0	2	0	2	0	0	2	0	2
Dumetocrinus_sp	0	2	2	2	2	2	2	0	2	0	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	0	2	2	2	2	2	0	2	2	2	2	0	2	2	2	2	0	2	2	2	2	0	2	0	2	2	2	0	2	0	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	0	2	2	0	2	0	2	0	2	0	0	2	0	2	2	2	2	2	2	2	2	0	2	2	0	2	2	2	2	2	2	2	2	2	0	2	2	2	2	0	0	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	0	2	0	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	0	0	2	2	2	2	0	2	0	2	2	2	2	2	0	2	2	2	0	0	2	2	2	2	0	2	0	0	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	0	2	2	0	2	2	2	2	2	2	2	2
Cephalodiscus_gracilis	1	2	0	0	0	2	0	2	2	0	2	0	2	0	2	0	2	0	0	0	2	2	0	2	0	0	0	0	0	0	0	2	2	2	0	0	2	2	2	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	2	2	0	2	0	2	2	0	0	0	2	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	0	0	0	0	0	0	2	0	0	2	2	0	2	2	2	0	2	0	2	2	0	2	0	0	0	2	0	2	0	0	0	2	0	0	2	0	0	0	2	0	0	2	2	2	2	0	0	0	2	0	2	0	0	2	2	2	0	2	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	2	2	2	0	0	2	0	2	2	2	0	0	2	2	0	0	0	0	0	0	0
Peripatopsis_capensis	0	2	0	0	0	2	2	0	2	0	2	0	2	2	2	0	0	2	0	0	0	0	2	0	2	0	0	0	0	2	2	2	2	0	2	2	0	2	2	0	0	0	0	2	0	0	2	2	2	2	2	2	0	0	2	2	2	2	2	0	2	0	2	2	0	2	2	0	2	2	2	2	0	0	2	2	0	2	2	0	0	0	2	0	2	0	0	0	0	0	2	2	2	0	2	2	2	0	0	2	2	0	0	2	0	0	0	0	0	0	2	0	2	2	2	2	2	1	2	2	2	2	2	0	2	0	0	2	2	2	0	2	2	0	0	0	2	2	2	2	0	0	2	2	0	2	2	0	0	2	0	2	2	2	0	0	2	0	0	2	2	0	2	2	0	1	2	2	2	0	2	0	2	2	0	0	0	0	2	2	2	2	0	2	0	2	2	2	0	0	0	2	2	0	2	2	2	2	2	2	0	2	2	2	2	2	2	0	2	2	0	2
